,index,YEAR,MONTH_NAME,EPISODE_ID,EVENT_ID,LOCATION,STATE,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,LATITUDE,LONGITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,MAGNITUDE,FLOOD_CAUSE,TOR_F_SCALE,Month_Num,Month_Day,geometry,index_right,city,state_id,state_name,lat,lng
37,17506,2024,January,188493,1158427,CHENNAULT INDUS AIRP,LOUISIANA,Hail,08-JAN-24 12:10:00,08-JAN-24 12:10:00,30.22,-93.16,30.22,-93.16,30.22,-93.16,2.0,,,1,2024-01-08,POINT (-7713150.36267655 11152604.403870257),294,Lake Charles,LA,Louisiana,30.201,-93.2111
38,17504,2024,January,188493,1158425,GALLERY,LOUISIANA,Flash Flood,08-JAN-24 15:10:00,08-JAN-24 16:10:00,29.7936,-91.4859,29.8183,-91.5373,29.7936,-91.4859,,Heavy Rain,,1,2024-01-08,POINT (-7861394.121468591 10857957.773400152),5634,Franklin,LA,Louisiana,29.7851,-91.5098
39,17507,2024,January,188493,1158429,GILLIS,LOUISIANA,Hail,08-JAN-24 12:24:00,08-JAN-24 12:24:00,30.38,-93.2,30.38,-93.2,30.38,-93.2,1.0,,,1,2024-01-08,POINT (-7678009.342653477 11152780.47682141),17890,Gillis,LA,Louisiana,30.3769,-93.1999
40,17497,2024,January,188493,1158424,LAKE CHARLES,LOUISIANA,Flash Flood,08-JAN-24 13:11:00,08-JAN-24 14:11:00,30.191,-93.1966,30.191,-93.1966,30.1902,-93.2295,,Heavy Rain,,1,2024-01-08,POINT (-7717835.291039474 11160592.400870757),294,Lake Charles,LA,Louisiana,30.201,-93.2111
41,17500,2024,January,188493,1158424,LAKE CHARLES LAKE,LOUISIANA,Flash Flood,08-JAN-24 13:11:00,08-JAN-24 14:11:00,30.1902,-93.2295,30.191,-93.1966,30.1902,-93.2295,,Heavy Rain,,1,2024-01-08,POINT (-7716719.131335233 11166645.022855889),294,Lake Charles,LA,Louisiana,30.201,-93.2111
42,21896,2024,January,188238,1158269,(MSY)MOISANT FLD NEW,LOUISIANA,Thunderstorm Wind,08-JAN-24 16:47:00,08-JAN-24 16:47:00,30.0,-90.25,30.0,-90.25,30.0,-90.25,57.0,,,1,2024-01-08,POINT (-7847830.306633492 10618002.264830997),772,Kenner,LA,Louisiana,30.0109,-90.2549
43,21897,2024,January,188239,1158266,KILN,MISSISSIPPI,Hail,08-JAN-24 18:15:00,08-JAN-24 18:15:00,30.45,-89.43,30.45,-89.43,30.45,-89.43,1.0,,,1,2024-01-08,POINT (-7765293.908685277 10454169.595012978),11121,Kiln,MS,Mississippi,30.4171,-89.4322
44,21883,2024,January,188238,1158261,MANDEVILLE,LOUISIANA,Flash Flood,08-JAN-24 18:00:00,08-JAN-24 19:00:00,30.3653,-90.092,30.38,-90.0199,30.4631,-90.032,,Heavy Rain,,1,2024-01-08,POINT (-7771935.934591967 10579674.061937436),372,Mandeville,LA,Louisiana,30.3751,-90.0904
45,21882,2024,January,188238,1158261,MANDEVILLE,LOUISIANA,Flash Flood,08-JAN-24 18:00:00,08-JAN-24 19:00:00,30.3457,-90.058,30.38,-90.0199,30.4631,-90.032,,Heavy Rain,,1,2024-01-08,POINT (-7776829.554653743 10573757.911511106),372,Mandeville,LA,Louisiana,30.3751,-90.0904
46,21881,2024,January,188238,1158261,CHINCHUBA,LOUISIANA,Flash Flood,08-JAN-24 18:00:00,08-JAN-24 19:00:00,30.38,-90.0199,30.38,-90.0199,30.4631,-90.032,,Heavy Rain,,1,2024-01-08,POINT (-7770169.983784201 10565866.24977635),372,Mandeville,LA,Louisiana,30.3751,-90.0904
